id|brandNm|product|location|date|post_date|origin_data_index|start_ymd|end_ymd|date_diff|address_name|address|x|y
77|MARVEL|마블 캐릭터 제품|롯데몰 수지점|19.12.17 - 20.1.20|2020-01-06|106.0|20201217|20210120|34|롯데몰 수지점|경기 용인시 수지구 성복2로 38|127.08124612146963|37.313027282933774
78|세이치즈토스트|치즈토스트|AK플라자 수원|4/12~4/25|2019-04-16|109.0|20190412|20190425|13|AK플라자 수원|경기 수원시 팔달구 덕영대로 924|127.000689957099|37.2655524309286
79|탈리다쿰|비건 뷰티|성동구 연무장17길 10 LCDC 서울|08.18(목)-09.29(목)|2022-09-06|110.0|20220818|20220929|42|LCDC서울|서울 성동구 연무장17길 10|127.06154597509|37.5417353247515
80|비이커|굿즈|한남|07.27-08.09|2021-07-30|111.0|20210727|20210809|13|한남동 카페거리|서울 용산구 한남동|127.001588561792|37.5369688440826
81|PET THE WORLD|다양한 제품|하남스타필드 1층 아트리움 광장|04.03(월)-04.16(일)|2023-04-06|112.0|20230403|20230416|13|스타필드 하남|경기 하남시 미사대로 750|127.223691197241|37.5454930733426
82|팝가|이벤트|성수|05.24(화)-06.06(월)|2022-06-07|113.0|20220524|20220606|13|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
83|백올|가방|현대백화점 판교|07.01 - 07.14|2020-07-06|115.0|20200701|20200714|13|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
84|프렐류드 스튜디오|문구류|서울 성동구 서울숲길 43 1층|12.05(월)-12.18(일)|2022-12-08|117.0|20221205|20221218|13|메쉬커피|서울 성동구 서울숲길 43|127.042453959446|37.5481192022199
85|누텍스처|바디 제품|성수|07.21(목)-08.07(일)|2022-07-20|118.0|20220721|20220807|17|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
86|엑스젤|방석|신세계 센텀시티|3/25~3/31|2019-03-29|119.0|20190325|20190331|6|신세계백화점 센텀시티점|부산 해운대구 센텀남대로 35|129.12907174004943|35.16864392798528
87|LG퓨리케어|에어로퍼니처|영등포구 여의대로 108, 더현대서울 5층|12.14(수)-01.04(수)|2022-12-16|120.0|20221214|20230104|21|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
88|비엔토|프리미엄 라탄 홈퍼니싱|현대백화점 대구|4/16~4/30|2019-04-22|121.0|20190416|20190430|14|더현대 대구|대구 중구 달구벌대로 2077|128.59063111852757|35.86662835745753
89|파라다이스시티|윈터마켓|인천 파라다이스시티|19.12.13 - 20.01.01|2019-12-14|122.0|20191213|20200101|19|파라다이스시티|인천 중구 영종해안남로321번길 186|126.45581261785026|37.43715757694489
