|id|subway_name|subway_line|distance|x|y
279|75|신사역|신분당선|760|127.019551734927|37.5160820085929
280|75|압구정역|3호선|696|127.02850865895756|37.52649127416921
281|76|신사역|3호선|441|127.02030856272764|37.51643597531432
282|76|신사역|신분당선|489|127.019551734927|37.5160820085929
283|76|압구정역|3호선|970|127.02850865895756|37.52649127416921
284|77|성복역|신분당선|94|127.08038367116|37.3135324511783
285|78|수원역|1호선|58|127.00004960484385|37.26568218296588
286|78|수원역|수인분당선|90|127.00024802619026|37.26628317764347
287|79|건대입구역|2호선|692|127.06920291650829|37.54040751726388
288|79|건대입구역|7호선|850|127.071104284458|37.5408686005702
289|79|성수역|2호선|578|127.056066999327|37.5445888153751
290|80|이태원역|6호선|696|126.994333861918|37.5345252050511
291|80|한강진역|6호선|313|127.001765135176|37.5397907743775
292|81|하남검단산역|5호선|632|127.223219337317|37.5398032640088
293|82|뚝섬역|2호선|395|127.04738727881|37.547241554679
294|82|서울숲역|수인분당선|345|127.044746216358|37.543645796605
295|82|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
296|83|판교역|신분당선|232|127.11119782955879|37.39477752734142
297|83|판교역|경강선|219|127.111982699564|37.394775885643
298|84|뚝섬역|2호선|446|127.04738727881|37.547241554679
299|84|서울숲역|수인분당선|536|127.044746216358|37.543645796605
300|84|응봉역|경의중앙선|733|127.034483653629|37.5499526279456
301|84|한양대역|2호선|849|127.043639802768|37.5557159860408
302|85|뚝섬역|2호선|395|127.04738727881|37.547241554679
303|85|서울숲역|수인분당선|345|127.044746216358|37.543645796605
304|85|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
305|86|민락역|부산2호선|659|129.122097073991|35.1670631931086
306|86|벡스코역|동해선|752|129.136705372019|35.1712399344204
307|86|벡스코역|부산2호선|892|129.138867985335|35.1688335422589
308|86|센텀시티역|부산2호선|247|129.131763997578|35.1689480066604
309|87|국회의사당역|9호선|971|126.91783895106|37.5281465047706
310|87|샛강역|9호선|943|126.9283750591322|37.51737287009036
311|87|샛강역|신림선|970|126.929463427672|37.5171662943088
312|87|여의나루역|5호선|425|126.93298596744|37.5271469489465
313|87|여의도역|9호선|620|126.92466104293|37.5211700890445
314|87|여의도역|5호선|578|126.924397990207|37.5217753947299
315|88|명덕역|대구1호선|977|128.59110945231205|35.857826850760546
316|88|반월당역|대구1호선|339|128.59333739255734|35.86449822913336
317|88|반월당역|대구2호선|295|128.59356694578094|35.865457605444135
318|88|서문시장역|대구3호선|829|128.582245500572|35.8696678378541
319|88|중앙로역|대구1호선|557|128.59397506943253|35.87085454444516
320|88|청라언덕역|대구3호선|792|128.582380299872|35.864197913328
321|88|청라언덕역|대구2호선|764|128.58243618642845|35.86489286135085
322|89|장기주차장역|자기부상철도[운행중단]|748|126.45562030781|37.4438953040571
323|89|파라다이스시티역|자기부상철도[운행중단]|358|126.459863313506|37.4371752560381
324|89|합동청사역|자기부상철도[운행중단]|446|126.458659841085|37.440481844271
325|90|목동역|5호선|941|126.86462527157516|37.526135115923466
326|90|양평역|5호선|993|126.886419282885|37.5255796429707
327|90|오목교역|5호선|235|126.875307312696|37.5245340839144
328|91|압구정로데오역|수인분당선|108|127.0406027693898|37.5275184818021
329|92|압구정로데오역|수인분당선|108|127.0406027693898|37.5275184818021
330|93|뚝섬역|2호선|966|127.04738727881|37.547241554679
331|93|성수역|2호선|319|127.056066999327|37.5445888153751
332|94|건대입구역|2호선|692|127.06920291650829|37.54040751726388
333|94|건대입구역|7호선|850|127.071104284458|37.5408686005702
334|94|성수역|2호선|578|127.056066999327|37.5445888153751
335|95|당산역|2호선|472|126.902611795523|37.5347843171332
336|95|당산역|9호선|428|126.902165052778|37.5337892432802
337|95|선유도역|9호선|571|126.89333386450167|37.53815865606546
338|95|영등포구청역|2호선|921|126.89667739939|37.5258305311402
339|96|녹사평역|6호선|688|126.9865496751|37.5347227952064
340|96|이태원역|6호선|0|126.994333861918|37.5345252050511
341|96|한강진역|6호선|879|127.001765135176|37.5397907743775
342|97|국회의사당역|9호선|971|126.91783895106|37.5281465047706
343|97|샛강역|9호선|943|126.9283750591322|37.51737287009036
344|97|샛강역|신림선|970|126.929463427672|37.5171662943088
345|97|여의나루역|5호선|425|126.93298596744|37.5271469489465
346|97|여의도역|9호선|620|126.92466104293|37.5211700890445
347|97|여의도역|5호선|578|126.924397990207|37.5217753947299
348|98|삼각지역|4호선|969|126.972922951307|37.5344393447708
